judge id,R_3MMV16tlEg5mPfo,R_10xfP6qQsG4YJ0B,R_1LNLUNmSgGtujIX,R_1mjUwPisBSab6Xx,R_9nwYBZmXorKUCD7,R_1pKwOZvPuBJolUg,R_9mfyLzqmQ7qXvZD,R_1H6OdPefE3ubEH4,R_3k6UYN56Ox3HOHY,R_1PRX7GjClvimkop,R_1jV9oNnBUT88oqi,R_2AExqzshzf3qC1F,R_2SpZ8EiRsUy9WOo,R_s4NG5GTzEZ8bx7j,R_ah521l1C2cfrbBn,R_2dFOG2fjssFaDlE,R_3JgXb2y6z5myWXc,R_2OI33dIQHCetQ0w,R_3p4ozs26mLTtS3u,R_3kcRtjs7Hnbx0X1,R_1Ln6I4PLDl3mddQ,R_1n7q8PNfmcYOloJ,R_ueLTNgngOxNqUo1,R_2VsjcnmX7eJTrF7,R_29tPTrsVJRd0WrY,R_2pLVHP7JYn4kpzJ,R_1P7ZgvgYG5696sg,R_31c7lJBBpBCe9ty,R_1QMg77KJWZrm1zP,R_1P0Fcu2jhVDwoTu,R_sYkyU1G1zUumWJj,R_21HvIc7qlSX11ZM,R_2YJQ5wjXFH7CR00,R_1dd9HbiNuiisl2g,R_1jUqFwzdkkBc41C,R_2xRcNtQm4xteO81,R_AB9p5276nWIr3MZ,R_2V3g6b2AtJYS808,R_VUVAOFX7yeE6ryp,R_XMIGl4PTMKC9LUJ,R_2t8MIvu2t2dsdVv,R_3qO5lNRyIBHOTag,R_1FKVWTrGOsew0eo,R_0qXSyQfoqqn4wGl,R_31M1qBjJC08C8Xu,R_3FV89BXpkghpNyE,R_2pY6s13N4pylG4l
R_3lyjq7rnbqKG0LE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1JWIGchZsitsoIY,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub1,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1pEwVDWQkquWmHZ,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
R_1IGjW2meGLxVpNx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_OdQJEo237GnCSOt,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
R_1Pcwjkecr8aAIgo,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,
R_2QEZB30H8QgOBtg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1H2B2wF9Ujo4e7Y,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,
R_2RNSrbXChtFZiiS,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
R_3qerQuseAjHl2Yb,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
R_UyVLN7wrYhrMztL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_25G9AmJqQbBghyO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1iqHhSuSHdu0SEC,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
R_SBEo5roV8QkqONX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,1.0,,,,,,,,,,,,1.0,
R_1C2ryxvmhXBTISf,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1.0
R_3psrnSpmgospKfP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,1.0,
R_1mXJsgf0D1liKjt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2.0,,
R_2dXh5ktIUusLpW1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1.0,,,,,,,,,,,,,
R_3t67LHtEL090nwF,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2EgSQlC5qobywXr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1FETrLE2PmkRdk2,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,
R_1C7s8AwuPbSwnHE,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
R_21GnfBZ5QXIx75W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,
R_1fZURRehZWBnT7x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
