judge id,R_3fVSZXU7HNOiIsa,R_0qPbAUyJUchgI4p,R_3p90ZtSkCO7rfWz,R_3EoGkrACFBzjJfw,R_3kiUooKLLaCbChh,R_8B0IfFpnRxtW4ol,R_2zZ5mBy2zJQ6AIB,R_210PQqQpojF9AHi,R_22R38F7Ad2j8ufo,R_TdvFBgV2Yw5Ie8V,R_2t6a9dfxb0EAXrc,R_1gqnQOZJkd4u2ii,R_SOuSufsrs5sc6Nr,R_1DtLh7LI3NIeIxg,R_3dSSaFGVIcHQ3AB,R_9WR2xrY7NWAM73X,R_rrN8HwsFpHISFdn,R_RsLXtnXKvy5m6S5,R_1loSbYcinn1PTGB,R_2EAIP8waE3tPxBq,R_1IBhJRlpVdvOVIe,R_1I4wISTRPCK3psp,R_1JWq8aiygxnpwI6,R_DbGKnIOy58KVbwd,R_237E9KdVoxdj2jh,R_2yd26mFqMyYKbM4,R_3Lha7d14oRHlwsM,R_3dSuAkNDDkoGQLN,R_2uIZInLZQW9weeW,R_1o0GCSuGIjWJzQC,R_4NrMBL078CLDnXP,R_2lvCGvGnWv15ZhT,R_D1z9C1G8mJyH1nj,R_2dmTAOhsT492jhO,R_1Mky0EtbuXv5ieZ,R_3fqPRzF1qqQx7U2,R_OONmMuTxMksQZGh,R_3HYWVrlx4BYGbkg,R_3MPzScznegMX11z,R_UnH1EXfIhVntSwh,R_AEToXdfZf3XVxx7,R_1LdK54eb9MasGC0,R_31LtUVAw2iGvkPA,R_1kYLLg96i7dtJzG,R_3DwiOaw9fGXmmUF,R_2ZJRCK5hj0zhs1o,R_2wiVy8hHTFtaDji
R_3lyjq7rnbqKG0LE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1JWIGchZsitsoIY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub1,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1pEwVDWQkquWmHZ,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
R_1IGjW2meGLxVpNx,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
R_OdQJEo237GnCSOt,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
R_1Pcwjkecr8aAIgo,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
R_2QEZB30H8QgOBtg,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,
R_1H2B2wF9Ujo4e7Y,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
R_2RNSrbXChtFZiiS,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,
R_3qerQuseAjHl2Yb,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
R_UyVLN7wrYhrMztL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_25G9AmJqQbBghyO,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1iqHhSuSHdu0SEC,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
R_SBEo5roV8QkqONX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1.0,
R_1C2ryxvmhXBTISf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,,1.0,,,,,,,,,,,,,
R_3psrnSpmgospKfP,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
R_1mXJsgf0D1liKjt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
R_2dXh5ktIUusLpW1,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
R_3t67LHtEL090nwF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
R_2EgSQlC5qobywXr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1FETrLE2PmkRdk2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,,1.0,,,
R_1C7s8AwuPbSwnHE,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
R_21GnfBZ5QXIx75W,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
R_1fZURRehZWBnT7x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
R_1NlZzLuMAi0lNSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
R_pEhaU3zHCWpiqtz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
R_O3H3N0yWcUcr15L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
R_2xLiXZz1uMnejOB,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2TBGCsAXIxLY2rf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
R_1F4WchotMq6BFxg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
R_DTXevMv7I4fKgHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
R_3G9cRCmCl2VRmGW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
sub2,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
R_11ZpuxAFPqzZ9hZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
R_1lioJ9XhWjTLdBT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
R_Xjtp4doKGbcvrwZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
R_3fViveG8nkR7BfN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
R_1rBWSpDLIN64U3y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,
R_3DqLozMG3gJPs98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_Y086uFUc9phbBVn,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,,0.0,,,,,
R_1qevB7zA7EbES4O,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
R_Zw0948isZQPDPQR,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
R_2dmQS4dtNsX2Wsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2xxTyaVDFnDzpjt,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
R_2zILlra0PPGDich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,
R_1GKByJF21YLjuqR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
R_1my3e4wN6pbXyBd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_22WwaiNAJLMzNSY,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2adDNU27ZFNERxf,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1DwC72wHvEepo2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_uy8BevuRxhBX1pD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_b9oVefeOBElXgGJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1i5wI6uoVUMnj43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2t51HNRRbNVGcA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_73Wog6lgZI571uN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3QQzROtDVjtNzJ8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1rANHDWIJ6SmhXO,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3h4Pu7PsHMWGw3q,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
